Verb,Most Likely Behavior,Internal / External (from Most Likely Behavior),Independent / Interactive (from Most Likely Behavior),Preferred Context (from Most Likely Behavior),Preferred Stimulus Task Type (from Most Likely Behavior),Other Possible Stimulus Task Type (from Most Likely Behavior),Learner choice of stimulus (from Most Likely Behavior),Preferred Deliverable Task Type (from Most Likely Behavior),Other Possible Deliverable Task Type (from Most Likely Behavior),Learner choice of deliverable (from Most Likely Behavior)
Develop,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Devise,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Differentiate,Know / Understand,Internal,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Discern,"Think Critically (Prospective),Decide / Select","Internal,External","Independent,Independent","Hypothetical / Simulated,Hypothetical / Simulated","Scenario,Scenario","Simulation,Real world project,Real world demonstration,Design project,Simulation,Real world project,Real world demonstration,Design project","Decided by program,No choice","*None: Must be paired with External Behavior*,Answer questions","Report,Proposal / Prototype,Observation,Presentation,Artifact","N/A,Decided by Program"
Document,"Show Evidence,Explain","External,External","Independent,Independent","Real world,Hypothetical / Simulated","Real world demonstration,Scenario","Real world project,Real world demonstration,Real world project,Design project","No choice,No choice","Portfolio,Answer questions","Artifact,Observation,Report,Presentation,Report,Presentation,Artifact","Decided by Program,Always"
Employ,Implement,External,Interactive,Real world,Real world demonstration,"Simulation,Real world demonstration",No choice,Report,"Portfolio,Observation,Presentation",Decided by Program
Engage,Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
Evaluate,Think Critically (Retrospective),Internal,Independent,Real world,Real world demonstration,"Scenario,Real world project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Explain,Explain,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",No choice,Answer questions,"Report,Presentation,Artifact",Always
Faciliate,Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
Formulate,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Generate,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Give feedback,Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
Identify,Know / Understand,Internal,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Implement,Implement,External,Interactive,Real world,Real world demonstration,"Simulation,Real world demonstration",No choice,Report,"Portfolio,Observation,Presentation",Decided by Program
Influence,Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
Interact,Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
